Item,Region,Price
Plagioclase,Solitude,100.0
Plagioclase,Cobalt Edge,70.0
Plagioclase,Essence,50.990573255771448307486861094
Plagioclase,Tash-Murkon,63.595
Plagioclase,Lonetrek,71.670612244897959183673469387
Plagioclase,Metropolis,51.360680147058823529411764704
Plagioclase,Verge Vendor,52.157840276159026159026159026
Plagioclase,Everyshore,54.358861416083916083916083916
Plagioclase,Kador,52.2299
Plagioclase,The Forge,56.246311454216319009532159055
Plagioclase,Domain,58.06388888888888888888888889
Plagioclase,The Citadel,52.35250028058361391694725028
Plagioclase,Sinq Laison,52.328973685129245400892259975
Plagioclase,Genesis,71.0
Plagioclase,Placid,50.0
Plagioclase,Heimatar,50.047590660986616868969810148
Spodumain,Devoid,4055.56
Spodumain,Sinq Laison,3775.405
Spodumain,Domain,9844.87
Spodumain,Outer Passage,2593.33165
Spodumain,The Forge,6782.875
Spodumain,Essence,3013.82
Spodumain,Providence,2313.48
Spodumain,Cobalt Edge,2875.0
Spodumain,Wicked Creek,2162.7399666666666666666666667
Kernite,The Forge,328.46306354373263968491901392
Kernite,Tash-Murkon,278.42942355564066090381879856
Kernite,Heimatar,283.5187489889141393818736454
Kernite,Lonetrek,1648.4635248861400087377749443
Kernite,Fountain,680.198
Kernite,Everyshore,340.09942765319594587887270813
Kernite,Black Rise,394.64428571428571428571428571
Kernite,Deklein,187.29
Kernite,Genesis,241.5340373536804751226003598
Kernite,Kador,328.09159401178002730897760465
Kernite,Verge Vendor,362.91138392857142857142857142
Kernite,Solitude,585.42152777777777777777777778
Kernite,Derelik,250.51190631808278867102396514
Kernite,Sinq Laison,332.96332268449330734132988859
Kernite,Providence,341.09666666666666666666666667
Kernite,The Citadel,338.56860302143514748556765363
Kernite,Kor-Azor,243.71558801491968158634825301
Kernite,Devoid,348.86567521367521367521367522
Kernite,Domain,277.5039077314090527354994333
Kernite,Delve,824.995
Kernite,Metropolis,340.4732111218765987532864749
Kernite,Curse,1484.2075
Kernite,Stain,1776.8399909090909090909090909
Kernite,Molden Heath,580.587
Kernite,Placid,388.62361538461538461538461538
Kernite,Essence,343.09031808390022675736961452
Kernite,Khanid,290.43142857142857142857142857
Hedbergite,Lonetrek,700.0
Hedbergite,Essence,750.96674603174603174603174603
Hedbergite,Kor-Azor,6127.0
Hedbergite,Sinq Laison,816.6843005952380952380952381
Hedbergite,The Forge,660.01
Hedbergite,Providence,588.6547619047619047619047619
Hedbergite,Domain,680.75400648351648351648351648
Hedbergite,Metropolis,731.18
Hedbergite,Kador,625.0
Arkonor,Essence,14495.250000000000000000000000
Arkonor,Derelik,91266.45
Arkonor,Tash-Murkon,3586.6633
Arkonor,Cobalt Edge,7000.0
Arkonor,Detorid,1900.0
Arkonor,Molden Heath,3646.67
Arkonor,Lonetrek,3724.75
Arkonor,Providence,2870.948
Arkonor,The Forge,3952.8646059920382012772170203
Arkonor,Curse,13034.814666666666666666666666
Arkonor,The Citadel,12625.0
Arkonor,Domain,3912.3482923397435897435897434
Arkonor,Sinq Laison,3857.9292405753968253968253969
Arkonor,Genesis,65427.2
Arkonor,Devoid,3769.196
Arkonor,Wicked Creek,3400.0
Arkonor,Metropolis,3305.5555555555555555555555556
Arkonor,Immensea,6109.88
Arkonor,Black Rise,14609.54
Arkonor,Deklein,15439.52
Arkonor,Heimatar,4603.6515555555555555555555556
Arkonor,Aridia,7083.0
Tritanium,Aridia,4.5625
Tritanium,Providence,6.2253041805710048201705598814
Tritanium,Derelik,4.9712748646816152536976335603
Tritanium,Deklein,6.2545454545454545454545454545
Tritanium,Everyshore,7.779226783144855696487941658
Tritanium,The Bleak Lands,4.7735
Tritanium,Verge Vendor,4215.4772297003410862161232454
Tritanium,Essence,3793.9053348863163734450712305
Tritanium,Period Basis,5.7329166666666666666666666665
Tritanium,Solitude,4.8979444444444444444444444444
Tritanium,Querious,4.6116611111111111111111111111
Tritanium,Paragon Soul,6.99
Tritanium,Black Rise,5.144526315789473684210526316
Tritanium,Malpais,5.386
Tritanium,Metropolis,4886.8708516444413679853741974
Tritanium,Fade,5.68
Tritanium,Tribute,4.9652941176470588235294117645
Tritanium,Genesis,38.377428753289692786737433293
Tritanium,Delve,4.9488
Tritanium,Impass,6.0
Tritanium,Domain,4771293.1978635845502413366314
Tritanium,Feythabolis,5.6475
Tritanium,Syndicate,4.348823529411764705882352941
Tritanium,The Kalevala Expanse,4.4675
Tritanium,Heimatar,919516.5671321800812534775201
Tritanium,Devoid,5.2540029215029728508547507263
Tritanium,Tash-Murkon,624195.35689551177117552141805
Tritanium,Curse,7.288888888888888888888888889
Tritanium,Geminate,5.091385003885003885003885004
Tritanium,Khanid,18.064537037037037037037037037
Tritanium,Placid,5.1164759220426460569829745457
Tritanium,The Forge,290098.03086900572822436674614
Tritanium,Kador,5.2436992070669125703904937867
Tritanium,Insmother,5.3976190476190476190476190475
Tritanium,Detorid,4.96125
Tritanium,Cache,5.15
Tritanium,Stain,4.6134538461538461538461538462
Tritanium,Lonetrek,29649.16375619951043701688321
Tritanium,Molden Heath,4.4695532987711213517665130568
Tritanium,Scalding Pass,10.675555555555555555555555555
Tritanium,Esoteria,6.4221333333333333333333333334
Tritanium,Cobalt Edge,5.7684615384615384615384615385
Tritanium,Catch,454545460.18363636363636363636
Tritanium,Branch,6.0
Tritanium,Sinq Laison,5.2788223213624235411222656562
Tritanium,Tenal,4.83
Tritanium,Immensea,6.1428571428571428571428571429
Tritanium,Fountain,73407.097938636363636363636365
